,other_education,other_religion,B7,B11_other,B13,D7,acceptancescore,perceptionscore,marscore,Qscore
count,0.0,0.0,320.0,0.0,320.0,320.0,320.0,320.0,320.0,320.0
mean,,,0.0,,0.01875,3.69375,18.275,31.484375,12.240625,10.328125
std,,,0.0,,0.19304116214458425,3.542835721985717,14.93704657894483,26.257461807048095,10.010726515901608,8.742313574225879
min,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
50%,,,0.0,,0.0,4.0,23.5,42.0,15.0,13.0
75%,,,0.0,,0.0,7.0,32.0,54.0,21.0,18.0
max,,,0.0,,2.0,10.0,40.0,151.0,25.0,25.0
